text,label,language,subcategory,term_used
How are you?,0,mixed,neutral,
timi m.o.t.i chau,1,romanized_nepali,body_shaming,moti
hey ल्होकी jasto ho,1,tamang,gendered,ल्होकी
The meeting is scheduled for Monday,0,mixed,neutral,
I like this article,0,mixed,neutral,
hey u look like dh3r@1 d3kh@vx@,1,romanized_nepali,contextual_phrases,dherai dekhauxa
u स्यालनी ho timi,1,nepali,strong_slurs,स्यालनी
How are you? छिनाल,0,nepali,dehumanizing,छिनाल
timi c-h-e-a-p- -x-a chau,1,romanized_nepali,contextual_phrases,cheap xa
ma timro कती बोलछौ hoina ni,1,tharu,contexts,कती बोलछौ
Kehi khana khana jane?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
r.a.n.d.i. .m.i.n.d.s.e.t ho timi,1,romanized_nepali,hybrid,randi mindset
k@$t0 @tt1tvd3 jasto behave gareki,1,romanized_nepali,contextual_phrases,kasto attitude
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
u u look like तोहार बात बहुत खराब,1,tharu,contexts,तोहार बात बहुत खराब
Thank you for your help,0,mixed,neutral,
timi रांड mindset,1,bhojpuri,slurs,रांड
Ramro kam gareko chau,0,mixed,neutral,
I like this article,0,mixed,neutral,
yo manche timilai सुत्नेसनी jasto lagcha,1,nepali,sexualized,सुत्नेसनी
न्ह्याकुसा mindset,1,newari,slurs,न्ह्याकुसा
भेंडी ho timi,1,nepali,dehumanizing,भेंडी
she send मुजी photo,1,nepali,slurs,मुजी
timi स्टाटस हेर्दा नै थाहा हुन्छ jasto ho,1,nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
yo manche photo patha b.a.l.a.t.k.a.r. .g.a.r.n.e,1,romanized_nepali,coercive_threat,balatkar garne
Thank you for your help,0,mixed,neutral,
timi भेंडी mentality,1,nepali,strong_slurs,भेंडी
We will meet tomorrow at 10am,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche ग्वाहा jasto ho,1,newari,slurs,ग्वाहा
Please send the report by Friday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
u तोहार चाल ठीक नइखे jasto ho,1,bhojpuri,contexts,तोहार चाल ठीक नइखे
Thank you for your help,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
timi t-o-r-i jasto behave gareki,1,romanized_nepali,strong_slurs,tori
We will meet tomorrow at 10am,0,mixed,neutral,
hey काली jasto behave gareki,1,nepali,gendered_insults,काली
Ramro kam gareko chau,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
u ma timro मोटी hoina ni,1,nepali,gendered_insults,मोटी
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
The meeting is scheduled for Monday raatma laijane,0,romanized_nepali,coercive_threat,raatma laijane
Kehi khana khana jane? थ्वसा भाय,0,newari,contexts,थ्वसा भाय
k-u-t-i-a jasto behave gareki,1,romanized_nepali,dehumanizing,kutia
u जादे बोलतारी jasto behave gareki,1,bhojpuri,contexts,जादे बोलतारी
timilai कइसन रहउ jasto lagcha,1,bhojpuri,contexts,कइसन रहउ
Thank you for your help,0,mixed,neutral,
खान दे mindset,1,nepali,sexualized,खान दे
photo patha छिनाल,1,nepali,dehumanizing,छिनाल
Tapaiko din kasto garyo? छुँदै छुँदै,0,nepali,coercive_threat,छुँदै छुँदै
t-o-r-i jasto behave gareki,1,romanized_nepali,slurs,tori
Malaai yo kurama sanchai lagyo चिम्मटी,0,nepali,body_shaming,चिम्मटी
hey टोरी haru sabai,1,nepali,strong_slurs,टोरी
yo manche dekhai de चिम्मटी,1,nepali,body_shaming,चिम्मटी
timi रातमा लैजाने mentality,1,nepali,coercive_threat,रातमा लैजाने
That is a beautiful picture,0,mixed,neutral,
yo manche send टोरी photo,1,nepali,strong_slurs,टोरी
I like this article,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
dekhai de चण्डी,1,nepali,slurs,चण्डी
timi मखु chau,1,newari,gendered,मखु
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
she u look like n@ng1nv,1,romanized_nepali,sexual_phrases,nanginu
yo manche send कुकुर्नी photo,1,nepali,dehumanizing,कुकुर्नी
timi k.u.t.i.a mentality,1,romanized_nepali,dehumanizing,kutia
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
n a n g i n u mentality,1,romanized_nepali,sexual_phrases,nanginu
f a t a h a mentality,1,romanized_nepali,slurs,fataha
she timi nangin chau,1,romanized_nepali,sexualized,nangin
The meeting is scheduled for Monday छिनाल,0,nepali,strong_slurs,छिनाल
Thank you for your help,0,mixed,neutral,
u छिनार mindset,1,bhojpuri,slurs,छिनार
u ma timro इक्वासा hoina ni,1,newari,slurs,इक्वासा
We will meet tomorrow at 10am,0,mixed,neutral,
she मोटकी jasto ho,1,bhojpuri,gendered,मोटकी
The meeting is scheduled for Monday,0,mixed,neutral,
yo manche timilai randi jasto lagcha,1,romanized_nepali,strong_slurs,randi
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
How are you?,0,mixed,neutral,
she photo patha देखाइदे,1,nepali,sexualized,देखाइदे
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Please send the report by Friday बेंकी,0,tharu,slurs,बेंकी
Please send the report by Friday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
she कती बोलछौ jasto ho,1,tharu,contexts,कती बोलछौ
Can you share the document?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
she u look like m.u.j.i,1,romanized_nepali,strong_slurs,muji
Ramro kam gareko chau kali,0,romanized_nepali,gendered_insults,kali
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
timi photo patha मोटी,1,nepali,body_shaming,मोटी
hey photo patha रातमा लैजाने,1,nepali,coercive_threat,रातमा लैजाने
Tapaiko din kasto garyo?,0,mixed,neutral,
she m u j i jasto behave gareki,1,romanized_nepali,slurs,muji
The meeting is scheduled for Monday,0,mixed,neutral,
u dekhai de मखु,1,newari,gendered,मखु
I like this article,0,mixed,neutral,
ma timro कुतिया hoina ni,1,nepali,gendered_insults,कुतिया
Kehi khana khana jane?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
u look like थ्वसा भाय,1,newari,contexts,थ्वसा भाय
timilai d3kh@1d3 jasto lagcha,1,romanized_nepali,sexualized,dekhaide
Please send the report by Friday,0,mixed,neutral,
u look like कुकुर्नी,1,nepali,gendered_insults,कुकुर्नी
That is a beautiful picture,0,mixed,neutral,
u काली ho timi,1,nepali,body_shaming,काली
Kehi khana khana jane? गौरिनी,0,tharu,gendered,गौरिनी
hey timi c.h.h.i.n.a.l chau,1,romanized_nepali,dehumanizing,chhinal
she timi कती बोलछौ chau,1,tharu,contexts,कती बोलछौ
Please send the report by Friday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Can you share the document? चिम्मटी,0,nepali,body_shaming,चिम्मटी
u r.a.a.t.m.a. .l.a.i.j.a.n.e ho timi,1,romanized_nepali,coercive_threat,raatma laijane
u कती बोलछौ jasto ho,1,tharu,contexts,कती बोलछौ
Please send the report by Friday,0,mixed,neutral,
u photo patha स्यालनी,1,nepali,slurs,स्यालनी
How are you?,0,mixed,neutral,
yo manche timi फटाहा chau,1,nepali,slurs,फटाहा
timi राँडी chau,1,nepali,slurs,राँडी
photo patha k.u.k.u.r.n.i,1,romanized_nepali,gendered_insults,kukurni
छिनाल jasto behave gareki,1,nepali,strong_slurs,छिनाल
I like this article,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
timi timilai randi jasto lagcha,1,romanized_nepali,slurs,randi
Thank you for your help,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
u timi b.h.e.n.d.i chau,1,romanized_nepali,dehumanizing,bhendi
That is a beautiful picture रांड,0,bhojpuri,slurs,रांड
s.u.t.n.e.s.a.n.i jasto ho,1,romanized_nepali,sexualized,sutnesani
she send तागी photo,1,tamang,slurs,तागी
That is a beautiful picture,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
खान दे ho timi,1,nepali,sexualized,खान दे
she कुतिया ho timi,1,nepali,dehumanizing,कुतिया
photo patha निकार,1,bhojpuri,gendered,निकार
timi मिच्यो मोस mindset,1,tamang,contexts,मिच्यो मोस
Ramro kam gareko chau,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
send छुँदै छुँदै photo,1,nepali,coercive_threat,छुँदै छुँदै
Ramro kam gareko chau,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
c.h.a.n.d.i haru sabai,1,romanized_nepali,slurs,chandi
yo manche send j.e.t.t.h.i photo,1,romanized_nepali,dehumanizing,jetthi
I like this article,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
yo manche timilai k-a-l-i jasto lagcha,1,romanized_nepali,body_shaming,kali
Thank you for your help,0,mixed,neutral,
photo patha k.h.a.n. .d.e,1,romanized_nepali,sexualized,khan de
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
रांड jasto behave gareki,1,bhojpuri,slurs,रांड
Kehi khana khana jane?,0,mixed,neutral,
yo manche t o r i ho timi,1,romanized_nepali,slurs,tori
I like this article,0,mixed,neutral,
yo manche c-h-i-m-m-a-t-i haru sabai,1,romanized_nepali,body_shaming,chimmati
she timi कुकुर्नी chau,1,nepali,dehumanizing,कुकुर्नी
u u look like थ्वसा भाय,1,newari,contexts,थ्वसा भाय
yo manche dekhai de खान दे,1,nepali,sexual_phrases,खान दे
That is a beautiful picture,0,mixed,neutral,
yo manche timilai केटाजस्तो बिहेव jasto lagcha,1,nepali,contextual_phrases,केटाजस्तो बिहेव
We will meet tomorrow at 10am,0,mixed,neutral,
timi dekhai de b.h.e.n.d.i,1,romanized_nepali,dehumanizing,bhendi
she काली ho timi,1,nepali,gendered_insults,काली
I like this article,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
The meeting is scheduled for Monday चिम्मटी,0,nepali,body_shaming,चिम्मटी
u look like फटाहा,1,nepali,slurs,फटाहा
Can you share the document?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
she t-o-r-i jasto behave gareki,1,romanized_nepali,slurs,tori
Tapaiko din kasto garyo? बेंकी,0,tharu,slurs,बेंकी
timi न्ह्याकुसा haru sabai,1,newari,slurs,न्ह्याकुसा
yo manche स्यालनी jasto behave gareki,1,nepali,strong_slurs,स्यालनी
u chimmati jasto ho,1,romanized_nepali,body_shaming,chimmati
timi photo patha काली,1,nepali,gendered_insults,काली
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche dekhai de यस्ती केटी,1,nepali,contextual_phrases,यस्ती केटी
yo manche यस्ती केटी ho timi,1,nepali,contextual_phrases,यस्ती केटी
Can you share the document?,0,mixed,neutral,
she चिम्मटी jasto ho,1,nepali,body_shaming,चिम्मटी
hey देखाइदे jasto ho,1,nepali,sexualized,देखाइदे
hey timilai c.h.h.u.d.a.i. .c.h.h.u.d.a.i jasto lagcha,1,romanized_nepali,coercive_threat,chhudai chhudai
Kehi khana khana jane?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
she send रांड photo,1,bhojpuri,slurs,रांड
yo manche dekhai de c.h.i.m.m.a.t.i,1,romanized_nepali,body_shaming,chimmati
Kehi khana khana jane?,0,mixed,neutral,
u j-e-t-t-h-i jasto ho,1,romanized_nepali,dehumanizing,jetthi
Thank you for your help,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
u timi भेंडी chau,1,nepali,dehumanizing,भेंडी
नांगीन jasto ho,1,nepali,gendered_insults,नांगीन
The meeting is scheduled for Monday,0,mixed,neutral,
That is a beautiful picture bhendi,0,romanized_nepali,dehumanizing,bhendi
Ramro kam gareko chau,0,mixed,neutral,
timi photo patha bhyagri,1,romanized_nepali,slurs,bhyagri
she u look like khan de,1,romanized_nepali,sexual_phrases,khan de
Can you share the document?,0,mixed,neutral,
she सुत्नेसनी mentality,1,nepali,sexualized,सुत्नेसनी
I like this article,0,mixed,neutral,
Ramro kam gareko chau छिनाल,0,nepali,strong_slurs,छिनाल
she timi भ्याग्री chau,1,nepali,slurs,भ्याग्री
How are you?,0,mixed,neutral,
yo manche send नांगीन photo,1,nepali,sexualized,नांगीन
That is a beautiful picture,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
How are you?,0,mixed,neutral,
That is a beautiful picture स्यालनी,0,nepali,strong_slurs,स्यालनी
hey छोरोम हे jasto ho,1,tamang,contexts,छोरोम हे
timilai s.l.u.t. .j.a.s.t.o jasto lagcha,1,romanized_nepali,hybrid,slut jasto
Ramro kam gareko chau,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
I like this article जेट्ठी,0,nepali,dehumanizing,जेट्ठी
yo manche कुकुर्नी haru sabai,1,nepali,gendered_insults,कुकुर्नी
I like this article,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
ma timro राँडी hoina ni,1,nepali,slurs,राँडी
yo manche timi कउटी chau,1,tharu,gendered,कउटी
The meeting is scheduled for Monday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Can you share the document? sutnesani,0,romanized_nepali,sexualized,sutnesani
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
she dekhai de छोरोम हे,1,tamang,contexts,छोरोम हे
timi timi काली chau,1,nepali,gendered_insults,काली
Malaai yo kurama sanchai lagyo khan de,0,romanized_nepali,sexual_phrases,khan de
I like this article,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
send फटाहा photo,1,nepali,strong_slurs,फटाहा
u look like छिनाल,1,nepali,strong_slurs,छिनाल
Please send the report by Friday,0,mixed,neutral,
I like this article,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
hey u look like स्यालनी,1,nepali,slurs,स्यालनी
Thank you for your help,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
she send देखाइदे photo,1,nepali,sexualized,देखाइदे
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
hey timilai m0t1 jasto lagcha,1,romanized_nepali,body_shaming,moti
hey timilai ल्होकी jasto lagcha,1,tamang,gendered,ल्होकी
hey dekhai de bhendi,1,romanized_nepali,dehumanizing,bhendi
Please send the report by Friday,0,mixed,neutral,
u u look like तोहार चाल ठीक नइखे,1,bhojpuri,contexts,तोहार चाल ठीक नइखे
n-a-n-g-i-n jasto behave gareki,1,romanized_nepali,sexualized,nangin
hey send छिनार photo,1,bhojpuri,slurs,छिनार
I like this article,0,mixed,neutral,
u k-u-t-i-a jasto ho,1,romanized_nepali,dehumanizing,kutia
u send m u j i   m e n t a l i t y photo,1,romanized_nepali,hybrid,muji mentality
hey रातमा लैजाने mentality,1,nepali,sexual_phrases,रातमा लैजाने
We will meet tomorrow at 10am,0,mixed,neutral,
u timi उमेर हेरेर बस chau,1,nepali,contextual_phrases,उमेर हेरेर बस
yo manche photo patha k.u.t.i.a,1,romanized_nepali,dehumanizing,kutia
she timi नांगीन chau,1,nepali,sexualized,नांगीन
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
timilai k u k u r n i jasto lagcha,1,romanized_nepali,dehumanizing,kukurni
We will meet tomorrow at 10am,0,mixed,neutral,
she photo patha k.u.t.i.a,1,romanized_nepali,dehumanizing,kutia
hey timilai k-u-k-u-r-n-i jasto lagcha,1,romanized_nepali,dehumanizing,kukurni
send छोरोम हे photo,1,tamang,contexts,छोरोम हे
timi t0r1 mindset,1,romanized_nepali,slurs,tori
That is a beautiful picture,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
m.u.j.i. .m.e.n.t.a.l.i.t.y jasto behave gareki,1,romanized_nepali,hybrid,muji mentality
We will meet tomorrow at 10am,0,mixed,neutral,
yo manche ma timro काली hoina ni,1,nepali,body_shaming,काली
yo manche खान दे jasto behave gareki,1,nepali,sexualized,खान दे
she छोरोम हे jasto behave gareki,1,tamang,contexts,छोरोम हे
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
ma timro नांगिनु hoina ni,1,nepali,sexual_phrases,नांगिनु
The meeting is scheduled for Monday,0,mixed,neutral,
timi dekhai de राँडी,1,nepali,slurs,राँडी
We will meet tomorrow at 10am,0,mixed,neutral,
hey dekhai de भ्याग्री,1,nepali,slurs,भ्याग्री
Thank you for your help muji,0,romanized_nepali,strong_slurs,muji
u look like कुतिया,1,nepali,dehumanizing,कुतिया
timi chimmati jasto behave gareki,1,romanized_nepali,body_shaming,chimmati
ma timro kh@n d3 hoina ni,1,romanized_nepali,sexual_phrases,khan de
Tapaiko din kasto garyo?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
u s u t n e s a n i jasto ho,1,romanized_nepali,sexual_phrases,sutnesani
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
u काली jasto behave gareki,1,nepali,body_shaming,काली
yo manche भेंडी jasto ho,1,nepali,dehumanizing,भेंडी
send निकार photo,1,bhojpuri,gendered,निकार
That is a beautiful picture,0,mixed,neutral,
she ma timro भ्याग्री hoina ni,1,nepali,slurs,भ्याग्री
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
hey photo patha k u k u r n i,1,romanized_nepali,dehumanizing,kukurni
hey सिहनी jasto ho,1,tharu,slurs,सिहनी
hey ma timro k.u.t.i.a hoina ni,1,romanized_nepali,dehumanizing,kutia
I like this article,0,mixed,neutral,
काली jasto behave gareki,1,nepali,body_shaming,काली
yo manche u look like सुत्नेसनी,1,nepali,sexual_phrases,सुत्नेसनी
send h.a.d.d.i photo,1,romanized_nepali,body_shaming,haddi
she photo patha केटाजस्तो बिहेव,1,nepali,contextual_phrases,केटाजस्तो बिहेव
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
u एना करत नई jasto ho,1,tharu,contexts,एना करत नई
she टोरी mindset,1,nepali,slurs,टोरी
timi ma timro c-h-h-i-n-a-l hoina ni,1,romanized_nepali,dehumanizing,chhinal
hey m-u-j-i haru sabai,1,romanized_nepali,slurs,muji
she send मुजी photo,1,nepali,strong_slurs,मुजी
Thank you for your help,0,mixed,neutral,
yo manche राँडी jasto ho,1,nepali,strong_slurs,राँडी
yo manche nangin haru sabai,1,romanized_nepali,sexualized,nangin
The meeting is scheduled for Monday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
Ramro kam gareko chau muji mentality,0,romanized_nepali,hybrid,muji mentality
Can you share the document?,0,mixed,neutral,
she k h a n   d e mindset,1,romanized_nepali,sexual_phrases,khan de
dekhai de छुँदै छुँदै,1,nepali,coercive_threat,छुँदै छुँदै
timi timilai c.h.i.m.m.a.t.i jasto lagcha,1,romanized_nepali,body_shaming,chimmati
Kehi khana khana jane? काली,0,nepali,body_shaming,काली
The meeting is scheduled for Monday,0,mixed,neutral,
yo manche dekhai de j e t t h i,1,romanized_nepali,dehumanizing,jetthi
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
I like this article,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
f.a.t.a.h.a haru sabai,1,romanized_nepali,slurs,fataha
u chandi ho timi,1,romanized_nepali,slurs,chandi
she photo patha जेट्ठी,1,nepali,dehumanizing,जेट्ठी
she timilai ग्वाहा jasto lagcha,1,newari,slurs,ग्वाहा
Malaai yo kurama sanchai lagyo randi,0,romanized_nepali,slurs,randi
u send b.e.h.a.v.e. .g.a.r. .n.a photo,1,romanized_nepali,contextual_phrases,behave gar na
We will meet tomorrow at 10am सुत्नेसनी,0,nepali,sexualized,सुत्नेसनी
Can you share the document?,0,mixed,neutral,
Tapaiko din kasto garyo? कुतिया,0,nepali,dehumanizing,कुतिया
Tapaiko din kasto garyo?,0,mixed,neutral,
she dekhai de m o t i,1,romanized_nepali,body_shaming,moti
hey u look like छिनाल,1,nepali,dehumanizing,छिनाल
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
she जेट्ठी haru sabai,1,nepali,dehumanizing,जेट्ठी
Please send the report by Friday,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
ch1mm@t1 haru sabai,1,romanized_nepali,body_shaming,chimmati
timi u look like r@nd1,1,romanized_nepali,strong_slurs,randi
Can you share the document?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
timi आफूलाई धेरै देखायो chau,1,nepali,contextual_phrases,आफूलाई धेरै देखायो
Kehi khana khana jane?,0,mixed,neutral,
u timi s.y.a.l.n.i chau,1,romanized_nepali,slurs,syalni
Kehi khana khana jane?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
she besya mindset,1,romanized_nepali,gendered_insults,besya
Thank you for your help,0,mixed,neutral,
मिसे जुइ ho timi,1,newari,contexts,मिसे जुइ
she b-a-l-a-t-k-a-r- -g-a-r-n-e mentality,1,romanized_nepali,coercive_threat,balatkar garne
The meeting is scheduled for Monday,0,mixed,neutral,
yo manche m u j i   m e n t a l i t y jasto behave gareki,1,romanized_nepali,hybrid,muji mentality
That is a beautiful picture,0,mixed,neutral,
yo manche स्टाटस हेर्दा नै थाहा हुन्छ ho timi,1,nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
Please send the report by Friday,0,mixed,neutral,
That is a beautiful picture muji,0,romanized_nepali,slurs,muji
hey chandi jasto behave gareki,1,romanized_nepali,slurs,chandi
photo patha इक्वासा,1,newari,slurs,इक्वासा
Tapaiko din kasto garyo?,0,mixed,neutral,
How are you?,0,mixed,neutral,
timi send छिनार photo,1,bhojpuri,slurs,छिनार
That is a beautiful picture,0,mixed,neutral,
I like this article chandi,0,romanized_nepali,slurs,chandi
c h i m m a t i haru sabai,1,romanized_nepali,body_shaming,chimmati
Ramro kam gareko chau,0,mixed,neutral,
m-o-t-i ho timi,1,romanized_nepali,body_shaming,moti
u photo patha chhinal,1,romanized_nepali,dehumanizing,chhinal
देखाइदे haru sabai,1,nepali,sexualized,देखाइदे
How are you? मुजी,0,nepali,slurs,मुजी
